Frequency Rank	Word	Pronunciation	Meaning	Part of Speech	Example	Example Pronunciation	Example Meaning	Source	Source Rank	Labels	Notes
1	है	hai	common present singular form of होना; is	copula	यह किताब नई है।	yeh kitāb naī hai.	This book is new.	Shabd 1.1; IIIT KCIS	IIIT tourism 2; IIIT health 2	function word; copula; beginner	Used with a singular third-person subject and in many impersonal expressions.
2	के	ke	possessive plural or oblique form; of	postposition	ये मेरे भाई के जूते हैं।	ye mere bhāī ke jūte haĩ.	These are my brother's shoes.	Shabd 1.1; IIIT KCIS	IIIT tourism 3; IIIT health 3	function word; possessive; beginner	A form of का that agrees with a following masculine plural or oblique noun.
3	में	mẽ	in; inside; at	postposition	मैं घर में हूँ।	maĩ ghar mẽ hū̃.	I am at home.	Shabd 1.1; IIIT KCIS	Shabd 1; IIIT tourism 4	function word; postposition; beginner	Marks location, containment, or a period of time.
4	की	kī	possessive feminine singular form; of	postposition	यह मेरी माँ की किताब है।	yeh merī mā̃ kī kitāb hai.	This is my mother's book.	Shabd 1.1; IIIT KCIS	IIIT tourism 5; IIIT health 7	function word; possessive; beginner	A form of का that agrees with a following feminine noun.
5	से	se	from; with; by; comparative marker	postposition	वह बस से स्कूल जाता है।	vo bas se skūl jātā hai.	He goes to school by bus.	Shabd 1.1; IIIT KCIS	IIIT tourism 6; IIIT health 6	function word; postposition; beginner	Can mark a source, instrument, agent, or point of comparison.
6	का	kā	possessive masculine singular form; of	postposition	यह पानी का गिलास है।	yeh pānī kā gilās hai.	This is a glass of water.	Shabd 1.1; IIIT KCIS	IIIT tourism 7; IIIT health 10	function word; possessive; beginner	Agrees with the following possessed noun, not with the possessor.
7	और	aur	and; also	conjunction	चाय और पानी यहाँ हैं।	chāy aur pānī yahā̃ haĩ.	Tea and water are here.	Shabd 1.1; IIIT KCIS	IIIT tourism 10; IIIT health 8	function word; conjunction; beginner	Joins words or clauses; context can also give the sense “more.”
8	हैं	haĩ	common present plural or honorific form of होना; are	copula	मेरे दोस्त घर पर हैं।	mere dost ghar par haĩ.	My friends are at home.	Shabd 1.1; IIIT KCIS	Shabd 5; IIIT tourism 9	function word; copula; beginner	Used with plural subjects and with a respected singular person.
9	को	ko	direct-object, dative, or time marker; to; for	postposition	मुझे शाम को काम करना है।	mujhe shām ko kām karnā hai.	I have to work in the evening.	Shabd 1.1; IIIT KCIS	IIIT tourism 13; IIIT health 11	function word; case marker; beginner	Marks many specific objects, recipients, experiencers, and clock times.
10	पर	par	on; at; about	postposition	किताब मेज़ पर है।	kitāb mez par hai.	The book is on the table.	Shabd 1.1; IIIT KCIS	IIIT tourism 11; IIIT health 16	function word; postposition; beginner	Marks a surface, location, topic, or point in time.
11	एक	ek	one; a; an	numeral	मेरे पास एक सवाल है।	mere pās ek savāl hai.	I have one question.	Shabd 1.1; IIIT KCIS	IIIT tourism 14; IIIT health 17	number; determiner; beginner	Often functions like an indefinite article, though Hindi has no exact equivalent of English “a.”
12	भी	bhī	also; too; even	particle	मैं भी चाय पीता हूँ।	maĩ bhī chāy pītā hū̃.	I drink tea too.	Shabd 1.1; IIIT KCIS	IIIT tourism 15; IIIT health 23	function word; particle; beginner	Usually follows the word or phrase it emphasizes.
13	ने	ne	ergative marker used with many completed transitive actions	postposition	बच्चे ने दरवाज़ा खोला।	bachche ne darvāzā kholā.	The child opened the door.	Shabd 1.1; IIIT KCIS	IIIT tourism 20; IIIT health 56	function word; case marker; beginner	Commonly marks the doer in perfective transitive clauses.
14	यह	yeh	this; he; she; it nearby	pronoun	यह रास्ता बहुत लंबा है।	yeh rāstā bahut lambā hai.	This road is very long.	Shabd 1.1; IIIT KCIS	IIIT tourism 24; IIIT health 22	pronoun; demonstrative; beginner	The ordinary spoken pronunciation is yeh rather than a letter-by-letter yah.
15	नहीं	nahī̃	not; no	adverb	मुझे आज चाय नहीं चाहिए।	mujhe āj chāy nahī̃ chāhiye.	I don't want tea today.	Shabd 1.1; IIIT KCIS	Shabd 6; IIIT tourism 52	function word; negation; beginner	The main neutral negator for statements and many questions.
16	कि	ki	that; introduces a reported statement or subordinate clause	conjunction	उसने कहा कि वह आएगा।	usne kahā ki vo āyegā.	He said that he would come.	Shabd 1.1; IIIT KCIS	IIIT tourism 38; IIIT health 24	function word; conjunction; beginner	Do not confuse this conjunction with the possessive form की.
17	लिए	liye	for; used mainly in के लिए	postposition	यह किताब बच्चों के लिए है।	yeh kitāb bachchõ ke liye hai.	This book is for children.	Shabd 1.1; IIIT KCIS	Shabd 2; IIIT tourism 17	function word; postposition; beginner	Usually appears after के to mark purpose, benefit, or intended recipient.
18	जो	jo	who; which; that in a relative clause	pronoun	जो लड़का बाहर है, वह मेरा भाई है।	jo laṛkā bāhar hai, vo merā bhāī hai.	The boy who is outside is my brother.	Shabd 1.1; IIIT KCIS	IIIT tourism 36; IIIT health 44	pronoun; relative; beginner	Often pairs with a later correlative form such as वह.
19	था	thā	masculine singular past form of होना; was	copula	कल बाज़ार बंद था।	kal bāzār band thā.	The market was closed yesterday.	Shabd 1.1; IIIT KCIS	IIIT tourism 22; IIIT health 36	function word; copula; past form	Agrees with a masculine singular subject or complement.
20	हो	ho	present form of होना used with तुम; are; be	copula	तुम आज बहुत खुश हो।	tum āj bahut khush ho.	You are very happy today.	Shabd 1.1; IIIT KCIS	IIIT tourism 61; IIIT health 15	function word; copula; beginner	Also appears as the verb stem in imperatives and compound forms.
21	तक	tak	up to; until; as far as	postposition	दुकान पाँच बजे तक खुली है।	dukān pā̃ch baje tak khulī hai.	The shop is open until five.	Shabd 1.1; IIIT KCIS	IIIT tourism 28; IIIT health 34	function word; postposition; beginner	Marks an endpoint in time, space, or degree.
22	तो	to	then; so; contrast or emphasis particle	particle	अगर समय है, तो चलो।	agar samay hai, to chalo.	If there's time, then let's go.	Shabd 1.1; IIIT KCIS	IIIT tourism 53; IIIT health 53	function word; particle; beginner	Its exact English rendering depends strongly on sentence structure and emphasis.
23	ही	hī	precisely; only; emphasis particle	particle	वह आज ही आया है।	vo āj hī āyā hai.	He arrived today itself.	Shabd 1.1; IIIT KCIS	IIIT tourism 18; IIIT health 58	function word; particle; beginner	Follows the word or phrase it focuses.
24	लेकिन	lekin	but	conjunction	कमरा छोटा है, लेकिन साफ़ है।	kamrā chhoṭā hai, lekin sāf hai.	The room is small but clean.	Shabd 1.1; IIIT KCIS	Shabd 33; IIIT health 85	function word; conjunction; beginner	Introduces a contrast.
25	कोई	koī	someone; anyone; some	pronoun	क्या यहाँ कोई डॉक्टर है?	kyā yahā̃ koī ḍokṭar hai?	Is there a doctor here?	Shabd 1.1; IIIT KCIS	Shabd 57; IIIT health 96	pronoun; indefinite; beginner	Can refer to a person or modify a singular countable noun.
26	कुछ	kuchh	some; something; a little	pronoun	मेरे पास कुछ पैसे हैं।	mere pās kuchh paise haĩ.	I have some money.	Shabd 1.1; IIIT KCIS	Shabd 80; IIIT tourism 94	pronoun; quantity; beginner	Can stand alone or modify a noun.
27	जब	jab	when	conjunction	जब बारिश होती है, हम घर में रहते हैं।	jab bārish hotī hai, ham ghar mẽ rahte haĩ.	When it rains, we stay home.	Shabd 1.1; IIIT KCIS	IIIT health 70	function word; conjunction; time	Often pairs with तब, though the second half can omit it.
