Word	Pinyin	Meaning	Example	Example Pinyin	Example Meaning	Source	Production Card	Sentence Card	Frequency Rank	Tags	Pilot Priority	Usage Note	Input File	Input Row
舍不得	shěbude	to be reluctant to part with or let go of	火车快开了，她还握着他的手，舍不得放开。	Huǒchē kuài kāi le, tā hái wòzhe tā de shǒu, shěbude fàngkāi.	The train was about to leave, but she was still holding his hand, reluctant to let go.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	1	Not literal hatred; emotional reluctance to part with someone or something.	lingq 2.csv	19
彼此	bǐcǐ	each other; one another	他们都没有开口，却明白彼此的心意。	Tāmen dōu méiyǒu kāikǒu, què míngbai bǐcǐ de xīnyì.	Neither of them spoke, but they understood each other's feelings.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	2	Reciprocal reference; here, each other's feelings.	lingq.csv	41
原谅	yuánliàng	to forgive; to excuse	她愿意原谅他，却还没准备好重新开始。	Tā yuànyì yuánliàng tā, què hái méi zhǔnbèi hǎo chóngxīn kāishǐ.	She was willing to forgive him, but was not yet ready to start again.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	3	Forgiving someone does not necessarily mean restarting a relationship.	lingq.csv	12
约定	yuēdìng	to agree or arrange; an agreement	他们约定，明年春天再来这里看花。	Tāmen yuēdìng, míngnián chūntiān zài lái zhèlǐ kàn huā.	They agreed to come back here to see the flowers next spring.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	4	Verb in this example; the word can also refer to an agreement.	lingq.csv	28
接触	jiēchù	to have contact with; to interact with; to touch	和他接触久了，她才发现他也有温柔的一面。	Hé tā jiēchù jiǔ le, tā cái fāxiàn tā yě yǒu wēnróu de yī miàn.	Only after spending time with him did she discover that he had a gentle side too.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	5	Here, interacting with a person, not necessarily physical touching.	lingq.csv	27
逃避	táobì	to avoid; to evade; to shy away from	她一直在逃避那个问题：自己是不是喜欢上了他？	Tā yīzhí zài táobì nàge wèntí: zìjǐ shì bù shì xǐhuan shàng le tā?	She had been avoiding one question: had she fallen for him?	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	6	Used for avoiding a question, feeling, responsibility or situation.	lingq 2.csv	15
指望	zhǐwàng	to count on; to expect or hope for	她没指望他会来，开门时却看见他站在雨里。	Tā méi zhǐwàng tā huì lái, kāimén shí què kànjiàn tā zhàn zài yǔ lǐ.	She had not expected him to come, but when she opened the door, he was standing in the rain.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	7	Expectation or reliance, not simply looking in a direction.	lingq 2.csv	16
勉强	miǎnqiǎng	to force someone; reluctantly; barely	“你不想说就别说，我不会勉强你。”他轻声说。	“Nǐ bù xiǎng shuō jiù bié shuō, wǒ bù huì miǎnqiǎng nǐ.” Tā qīngshēng shuō.	“You don't have to say it. I won't force you,” he said softly.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	8	The example teaches 勉强某人, to force or pressure someone. Read qiang as qiǎng.	lingq 2.csv	22
得罪	dézuì	to offend; to upset someone	“我哪里得罪你了？”他笑着问，她却没有笑。	“Wǒ nǎlǐ dézuì nǐ le?” Tā xiàozhe wèn, tā què méiyǒu xiào.	“What have I done to offend you?” he asked with a smile, but she did not smile.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	9	Conversational complaint or teasing question; not the literal idea of obtaining a crime.	lingq 2.csv	12
佩服	pèifu	to admire; to respect someone's qualities or ability	他答应的事都会做到，这一点让她很佩服。	Tā dāying de shì dōu huì zuòdào, zhè yī diǎn ràng tā hěn pèifu.	He always did what he had promised, which she admired.	reading-target:First Frost (user-reported); vocabulary:LingQ export; example:original romance pilot		yes		chinese_vocab source_lingq reading_novel genre_romance book_first_frost pilot_first_frost_01	10	Admiration for qualities or ability; not necessarily romantic attraction. Neutral fu is used here.	lingq 2.csv	10
