Frequency Rank	Word	IPA	Meaning	Part of Speech	Lemma	Example	Example IPA	Example Meaning	Source	Source Rank	Labels	Notes
1	de	/de/	of; from	preposition	de	La taza de café está caliente.	[la ˈtasa ðe kaˈfe esˈta kaˈljente]	The cup of coffee is hot.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP 1; OpenSubtitles2018 1; OpenSLR21 1	core; function word; preposition	Combines with el to form del.
2	que	/ke/	that; which	conjunction	que	Creo que mañana viene mi hermano.	[ˈkɾeo ke maˈɲana ˈβjene mi eɾˈmano]	I think my brother is coming tomorrow.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 2; OpenSLR21 5	core; function word; conjunction; accent contrast	Unaccented; contrast interrogative qué.
3	no	/no/	no; not	adverb	no	Hoy no trabajo por la tarde.	[oj no tɾaˈβaxo poɾ la ˈtaɾðe]	I am not working this afternoon.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 3; OpenSLR21 19	core; negation; adverb	Placed before a verb to make it negative.
4	a	/a/	to; at	preposition	a	Vamos a casa después de clase.	[ˈbamos a ˈkasa ðesˈpwes ðe ˈklase]	We are going home after class.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP 2; OpenSubtitles2018 4; OpenSLR21 6	core; function word; preposition	Combines with el to form al.
5	la	/la/	the (feminine singular)	article	el	Pongo la mesa antes de cenar.	[ˈpoŋɡo la ˈmesa ˈantes ðe seˈnaɾ]	I set the table before dinner.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 5; OpenSLR21 2	core; function word; article; feminine	Feminine singular definite article.
6	el	/el/	the (masculine singular)	article	el	Busco el libro en mi mochila.	[ˈbusko el ˈliβɾo en mi moˈtʃila]	I am looking for the book in my backpack.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 6; OpenSLR21 3	core; function word; article; masculine; accent contrast	Unaccented article; contrast pronoun él.
7	y	/i/	and	conjunction	y	Compramos pan y fruta para mañana.	[komˈpɾamos pan i ˈfɾuta ˈpaɾa maˈɲana]	We are buying bread and fruit for tomorrow.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 7; OpenSLR21 7	core; function word; conjunction	Usually pronounced like the vowel /i/.
8	en	/en/	in; on; at	preposition	en	Mis llaves están en la cocina.	[mis ˈʝaβes esˈtan en la koˈsina]	My keys are in the kitchen.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 9; OpenSLR21 4	core; function word; preposition	Common location preposition.
9	un	/un/	a; an (masculine)	article	uno	Necesito un vaso limpio, por favor.	[neseˈsito um ˈbaso ˈlimpjo poɾ faˈβoɾ]	I need a clean glass, please.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 11; OpenSLR21 10	core; function word; article; masculine	Masculine singular indefinite article.
10	por	/poɾ/	for; by; through	preposition	por	Caminamos por el parque cada día.	[kamiˈnamos poɾ el ˈpaɾke ˈkaða ˈdia]	We walk through the park every day.	SUBTLEX-ESP; OpenSubtitles2018-es; OpenSLR21 Spanish	SUBTLEX-ESP n/a; OpenSubtitles2018 12; OpenSLR21 11	core; function word; preposition	Often marks cause, means, exchange, or movement through.
