Knowledge ID	Chinese Question	English Question	Chinese Answer	English Answer	Chinese Explanation	English Explanation	Category	Subcategory	Era	Region	Difficulty	Source	Source Date	Fact Checked	Tags
geo-overview-001	中国位于亚洲的哪个部分？	In which part of Asia is China located?	东亚。	East Asia.	中国东临太平洋，陆地连接东亚、东南亚、南亚和中亚的多个地区。	China faces the Pacific and its land borders connect several parts of East, Southeast, South, and Central Asia.	geography	national_location		china	foundation	MEE_GEOGRAPHY	2026-08-06	2026-08-06	qtype::direct
geo-border-002	中国有多少个陆地邻国？	How many countries share a land border with China?	14个。	14.	漫长的陆地边界使中国同时与东北亚、东南亚、南亚和中亚相邻。	Its long land frontier makes China a neighbour of countries in Northeast, Southeast, South, and Central Asia.	geography	borders		china	foundation	MEE_GEOGRAPHY	2026-08-06	2026-08-06	qtype::direct
geo-terrain-003	中国地势总体上怎样变化？	What is the broad pattern of China's elevation?	西高东低，呈阶梯状下降。	It is high in the west and descends eastward in broad steps.	青藏高原构成最高一级，较低的高原、盆地和平原依次向东展开。	The Tibetan Plateau forms the highest step, followed eastward by lower plateaus, basins, and plains.	geography	physical_regions		national	foundation	MEE_GEOGRAPHY	2026-08-06	2026-08-06	qtype::classification
geo-plateau-004	为什么青藏高原常被称为“亚洲水塔”？	Why is the Tibetan Plateau often called the “water tower of Asia”?	因为亚洲许多大河发源于这里的高山和冰川地区。	Because the headwaters of many major Asian rivers lie in its mountains and glaciers.	长江、黄河、澜沧江等河流都从这一高原及其周边高地流出。	The Yangtze, Yellow, and Lancang-Mekong rivers all flow from this plateau and its surrounding highlands.	geography	physical_regions		tibetan_plateau	intermediate	MEE_GEOGRAPHY;NATGEO_HUANGHE	2026-08-06	2026-08-06	qtype::significance
geo-river-005	中国最长的河流是哪一条？	Which river is the longest in China?	长江。	The Yangtze River.	长江从青藏高原流向东海，是中国人口、交通和经济活动的重要轴线。	The Yangtze runs from the Tibetan Plateau to the East China Sea and is a major axis of population, transport, and economic activity.	geography	rivers		yangtze_basin	foundation	MEE_GEOGRAPHY	2026-08-06	2026-08-06	qtype::direct
geo-river-006	中国第二长的河流是哪一条？	Which river is the second longest in China?	黄河。	The Yellow River.	黄河流域是中国早期国家和农业文明的重要发展地区。	The Yellow River basin was an important region for the development of early Chinese states and agriculture.	geography	rivers		yellow_river_basin	foundation	NATGEO_HUANGHE	2026-08-06	2026-08-06	qtype::direct
geo-river-007	黄河为什么呈现明显的黄色？	Why does the Yellow River have its characteristic yellow colour?	因为河水携带大量黄土高原的泥沙。	Because it carries a heavy load of silt from the Loess Plateau.	细小的黄土颗粒进入河流，使水色变黄，也造成下游河床淤积。	Fine loess particles enter the river, colouring the water and contributing to sediment buildup downstream.	geography	rivers		loess_plateau	foundation	NATGEO_HUANGHE	2026-08-06	2026-08-06	qtype::cause
geo-river-008	黄河最终流入哪个海？	Into which sea does the Yellow River flow?	渤海。	The Bohai Sea.	黄河向东穿过华北，在山东北部附近进入渤海。	The river crosses North China eastward and enters the Bohai Sea near northern Shandong.	geography	rivers		north_china	foundation	LOC_CHINA_STUDY	2026-08-06	2026-08-06	qtype::location
geo-river-009	长江最终流入哪个海？	Into which sea does the Yangtze River flow?	东海。	The East China Sea.	长江在上海附近形成河口，连接内陆水运与沿海航运。	The Yangtze reaches the sea near Shanghai, linking inland water transport with coastal shipping.	geography	rivers		yangtze_delta	foundation	MEE_GEOGRAPHY	2026-08-06	2026-08-06	qtype::location
geo-river-010	澜沧江流出中国后通常叫什么名字？	What is the Lancang River generally called after it leaves China?	湄公河。	The Mekong River.	它从中国西南流向东南亚，是一条重要的跨境河流。	It flows from southwest China into Southeast Asia and is an important transboundary river.	geography	rivers		southwest_china	foundation	MEE_GEOGRAPHY	2026-08-06	2026-08-06	qtype::identification
geo-river-011	珠江水系与中国哪个重要经济区密切相关？	Which major economic region is closely associated with the Pearl River system?	珠江三角洲。	The Pearl River Delta.	广州、深圳、佛山、东莞等城市组成了高度城市化和工业化的区域网络。	Cities including Guangzhou, Shenzhen, Foshan, and Dongguan form a highly urbanized and industrialized regional network.	geography	rivers		pearl_river_delta	foundation	NBS_YEARBOOK_2025	2026-08-06	2026-08-06	qtype::relationship
geo-river-012	京杭大运河历史上的主要作用是什么？	What was the main historical function of the Grand Canal?	连接中国南北的水运系统。	A water-transport link between northern and southern China.	它把长江流域等粮食产区与北方政治中心连接起来，支持漕运和商业。	It connected grain-producing regions such as the Yangtze basin with northern political centres, supporting state transport and commerce.	geography	waterways		grand_canal	intermediate	LOC_CHINA_STUDY	2026-08-06	2026-08-06	qtype::significance
geo-plain-013	华北平原为什么重要？	Why is the North China Plain important?	它是人口密集的农业和城市核心区。	It is a densely populated core region of farming and cities.	黄河等河流沉积形成的平原适合耕作，也承载了北京、天津及许多历史城市周边的人口。	River sediments created cultivable land, and the region supports Beijing, Tianjin, and many historic urban areas.	geography	physical_regions		north_china_plain	foundation	NATGEO_HUANGHE;LOC_CHINA_STUDY	2026-08-06	2026-08-06	qtype::significance
geo-plateau-014	黄土高原最突出的地貌问题是什么？	What is the most prominent landform problem of the Loess Plateau?	严重的土壤侵蚀和沟壑发育。	Severe soil erosion and deeply cut gullies.	松散黄土容易被雨水冲走，泥沙随后进入黄河水系。	Loose loess is readily eroded by rain, and the sediment then enters the Yellow River system.	geography	physical_regions		loess_plateau	intermediate	NATGEO_HUANGHE	2026-08-06	2026-08-06	qtype::cause
